      8090
0.2588849134000E+01 -.1414811231000E+01
0.2589642233000E+01 -.1414217804000E+01
0.2590435332000E+01 -.1413624378000E+01
0.2591228430000E+01 -.1413030952000E+01
0.2592021834000E+01 -.1412437933000E+01
0.2592815292000E+01 -.1411844988000E+01
0.2593608750000E+01 -.1411252042000E+01
0.2594402333000E+01 -.1410659263000E+01
0.2595196038000E+01 -.1410066648000E+01
0.2595990308000E+01 -.1409474791000E+01
0.2596784976000E+01 -.1408883469000E+01
0.2597579644000E+01 -.1408292146000E+01
0.2598374312000E+01 -.1407700823000E+01
0.2599168981000E+01 -.1407109500000E+01
0.2599963649000E+01 -.1406518178000E+01
0.2600758317000E+01 -.1405926855000E+01
0.2601552986000E+01 -.1405335532000E+01
0.2602347654000E+01 -.1404744210000E+01
0.2603142322000E+01 -.1404152887000E+01
0.2603936990000E+01 -.1403561564000E+01
0.2604731659000E+01 -.1402970241000E+01
0.2605526265000E+01 -.1402378835000E+01
0.2606320813000E+01 -.1401787351000E+01
0.2607115361000E+01 -.1401195867000E+01
0.2607909909000E+01 -.1400604383000E+01
0.2608704458000E+01 -.1400012899000E+01
0.2609499006000E+01 -.1399421415000E+01
0.2610293554000E+01 -.1398829931000E+01
0.2611088102000E+01 -.1398238447000E+01
0.2611882650000E+01 -.1397646963000E+01
0.2612677199000E+01 -.1397055479000E+01
0.2613471747000E+01 -.1396463995000E+01
0.2614266295000E+01 -.1395872511000E+01
0.2615061536000E+01 -.1395281960000E+01
0.2615857582000E+01 -.1394692493000E+01
0.2616653628000E+01 -.1394103027000E+01
0.2617449675000E+01 -.1393513561000E+01
0.2618245721000E+01 -.1392924095000E+01
0.2619041768000E+01 -.1392334629000E+01
0.2619837814000E+01 -.1391745163000E+01
0.2620633860000E+01 -.1391155696000E+01
0.2621429907000E+01 -.1390566230000E+01
0.2622225953000E+01 -.1389976764000E+01
0.2623021999000E+01 -.1389387298000E+01
0.2623818046000E+01 -.1388797832000E+01
0.2624614606000E+01 -.1388209061000E+01
0.2625411847000E+01 -.1387621212000E+01
0.2626209088000E+01 -.1387033362000E+01
0.2627006329000E+01 -.1386445512000E+01
0.2627803570000E+01 -.1385857663000E+01
0.2628600811000E+01 -.1385269813000E+01
0.2629398051000E+01 -.1384681963000E+01
0.2630195292000E+01 -.1384094114000E+01
0.2630992533000E+01 -.1383506264000E+01
0.2631789774000E+01 -.1382918414000E+01
0.2632587015000E+01 -.1382330565000E+01
0.2633384256000E+01 -.1381742715000E+01
0.2634181514000E+01 -.1381154889000E+01
0.2634978798000E+01 -.1380567097000E+01
0.2635776081000E+01 -.1379979306000E+01
0.2636573365000E+01 -.1379391514000E+01
0.2637370648000E+01 -.1378803722000E+01
0.2638167931000E+01 -.1378215930000E+01
0.2638965215000E+01 -.1377628138000E+01
0.2639762498000E+01 -.1377040346000E+01
0.2640559782000E+01 -.1376452554000E+01
0.2641357065000E+01 -.1375864762000E+01
0.2642154552000E+01 -.1375277246000E+01
0.2642952203000E+01 -.1374689953000E+01
0.2643749854000E+01 -.1374102660000E+01
0.2644547505000E+01 -.1373515368000E+01
0.2645345156000E+01 -.1372928075000E+01
0.2646142807000E+01 -.1372340782000E+01
0.2646940458000E+01 -.1371753489000E+01
0.2647738110000E+01 -.1371166196000E+01
0.2648535761000E+01 -.1370578903000E+01
0.2649333412000E+01 -.1369991610000E+01
0.2650131375000E+01 -.1369404742000E+01
0.2650929477000E+01 -.1368818062000E+01
0.2651727580000E+01 -.1368231383000E+01
0.2652525682000E+01 -.1367644703000E+01
0.2653323784000E+01 -.1367058023000E+01
0.2654121886000E+01 -.1366471343000E+01
0.2654919988000E+01 -.1365884663000E+01
0.2655718090000E+01 -.1365297983000E+01
0.2656516192000E+01 -.1364711303000E+01
0.2657314294000E+01 -.1364124624000E+01
0.2658112612000E+01 -.1363538237000E+01
0.2658911102000E+01 -.1362952086000E+01
0.2659709593000E+01 -.1362365935000E+01
0.2660508083000E+01 -.1361779783000E+01
0.2661306573000E+01 -.1361193632000E+01
0.2662105063000E+01 -.1360607480000E+01
0.2662903554000E+01 -.1360021329000E+01
0.2663702044000E+01 -.1359435177000E+01
0.2664500534000E+01 -.1358849026000E+01
0.2665299024000E+01 -.1358262874000E+01
0.2666098033000E+01 -.1357677431000E+01
0.2666897747000E+01 -.1357092950000E+01
0.2667697461000E+01 -.1356508469000E+01
0.2668497174000E+01 -.1355923988000E+01
0.2669296888000E+01 -.1355339506000E+01
0.2670096602000E+01 -.1354755025000E+01
0.2670896315000E+01 -.1354170544000E+01
0.2671696029000E+01 -.1353586063000E+01
0.2672495743000E+01 -.1353001582000E+01
0.2673295456000E+01 -.1352417101000E+01
0.2674095497000E+01 -.1351833067000E+01
0.2674896271000E+01 -.1351250040000E+01
0.2675697046000E+01 -.1350667014000E+01
0.2676497821000E+01 -.1350083987000E+01
0.2677298596000E+01 -.1349500961000E+01
0.2678099371000E+01 -.1348917934000E+01
0.2678900145000E+01 -.1348334908000E+01
0.2679700920000E+01 -.1347751881000E+01
0.2680501695000E+01 -.1347168855000E+01
0.2681302470000E+01 -.1346585828000E+01
0.2682103245000E+01 -.1346002802000E+01
0.2682904019000E+01 -.1345419775000E+01
0.2683704794000E+01 -.1344836749000E+01
0.2684506192000E+01 -.1344254580000E+01
0.2685308086000E+01 -.1343673094000E+01
0.2686109980000E+01 -.1343091608000E+01
0.2686911874000E+01 -.1342510121000E+01
0.2687713768000E+01 -.1341928635000E+01
0.2688515662000E+01 -.1341347149000E+01
0.2689317556000E+01 -.1340765663000E+01
